list_of_given_concepts,concepts_suggested_by_llm,closest_class,cosine_similarity,class_classification_similarity_based,llm_auto_classification,ll_auto_eval_score
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Formatter] with properties: [PUNCTUATION] and behaviors: [capitalize(String), format(String, Object), trim(String)]",Highlighter,0.732611,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [StringFormatter] with properties: [CHARACTERS] and behaviors: [capitalize(String), format(String, Object), truncate(String)]",Charm,0.69005895,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [uppercase(String), concatenate(String, String), trim(String)]",Piercing,0.72357035,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Constants] with properties: [KEYS] and behaviors: [toUpperCase(String), merge(String, String), validate(String)]",Script,0.74210143,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Transformers] with properties: [CHARACTERS] and behaviors: [upper(String), concatenate(String, String), replace(String, String)]",Armor,0.7376101,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [uppercase(String), concatenate(String, String), pluralize(String)]",Glyph,0.7258085,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), concatenate(String, String), repeat(Integer, String)]",Seed,0.74257517,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [StringTools] with properties: [CHARACTERS] and behaviors: [upperCase(String), format(String, Object), repeat(String, int)]",WndInfoItem,0.72794664,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Chars] with properties: [ALPHABETS] and behaviors: [uppercase(String), concatenate(String, String), iterate(String)]",CharSprite,0.7325327,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [ALPHABETS] and behaviors: [toUpperCase(String), replace(String, String), split(String)]",Group,0.7272125,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [String] with properties: [CHARACTERS] and behaviors: [uppercase(String), concatenate(String, String), reverse(String)]",Enchantment,0.7350595,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [uppercase(String), concatenate(String, String), substring(String, int, int)]",Uniform,0.73860943,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toLowerCase(String), upperCase(String), split(String, String)]",Weakness,0.7167092,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [TextFormatter] with properties: [CHARS] and behaviors: [uppercase(String), format(String, Object), truncate(String)]",LineSplitter,0.7252977,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [trim(String), replace(String, String), split(String)]",Shrinking,0.7221562,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [StringOps] with properties: [CHARS] and behaviors: [upper(String), concatenate(String, String), repeat(String, int)]",SparseArray,0.71715605,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), replace(String, String), split(String)]",Displacement,0.7227435,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), concatenate(String, String), reverse(String)]",Entanglement,0.7157402,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [uppercase(String), concatenate(String, String), repeat(String, int)]",Hero,0.7302961,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toLowerCase(String), upperCase(String), split(String)]",AntiEntropy,0.7151679,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), substring(String, int, int), replace(String, String)]",Slow,0.73037195,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Regex] with properties: [PATTERNS] and behaviors: [match(String), replace(String, String), find(String)]",BArray,0.70813495,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toLowerCase(String), concatenate(String, String), trim(String)]",Affection,0.69737875,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [StringTransforms] with properties: [CHARACTERS] and behaviors: [lower(String), upper(String), split(String)]",Paralysis,0.71422577,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toLowerCase(String), trim(String), concatenate(String, String)]",Frost,0.7000383,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [lower(String), replace(String, String), trim(String)]",Burning,0.71713495,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Chars] with properties: [ALPHABETS] and behaviors: [toUpperCase(String), concatenate(String, String), reverse(String)]",Javelin,0.7095935,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Transformers] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), replace(String, String), truncate(String)]",MeleeWeapon,0.721938,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Modifiers] with properties: [CONSONANTS] and behaviors: [lower(String), pluralize(String, Object), possessive(String)]",Bestiary,0.70415384,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [StringTools] with properties: [CHARACTERS] and behaviors: [reverse(String), extract(String, int), concatenate(String, String)]",WandOfTelekinesis,0.68540746,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Punctuation] with properties: [PUNCTUATION_MARKS] and behaviors: [capitalize(String), format(String, Object), replace(String, String)]",GameLog,0.71057403,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Here is a suggested similar concept:

Concept: Strings with properties: [CONSONANTS] and behaviors: [lower(String), substring(String, int, int), replace(String, String)]",Hunger,0.71806437,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toLowerCase(String), replace(String, String), substring(Int, Int)]",Wound,0.7167705,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [ALPHABET] and behaviors: [toUpperCase(String), replace(String, String), substring(String, int, int)]",ItemIterator,0.7199603,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [TextProcessor] with properties: [CHARS] and behaviors: [toLowerCase(String), replace(String, String), trim(String)]",Stench,0.71166867,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Text] with properties: [ALPHABETS] and behaviors: [uppercase(String), replace(String, String), truncate(String)]",Stylus,0.7370406,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toLowerCase(String), upperCase(String), concatenate(String, String)]",Potion,0.6821987,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [TextTransforms] with properties: [CHARS] and behaviors: [toLowerCase(String), upperCase(String), replace(String, String)]",Shadows,0.7088151,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [ALPHABETS] and behaviors: [capitalize(String), format(String, Object), truncate(String)]",IconTitle,0.7038897,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Filters] with properties: [REGEX] and behaviors: [match(String), replace(String, String), split(String)]",PotionOfPurity,0.700806,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), replace(String, String), split(String)]",Point,0.7083863,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Transformers] with properties: [CHARACTERS] and behaviors: [toLowerCase(String), format(String, Object), pluralize(String)]",Barkskin,0.72322536,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Parsers] with properties: [REGEX] and behaviors: [match(String, String), extract(String, String), validate(String)]",Quest,0.68220234,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [TextFormatter] with properties: [CHARACTERS] and behaviors: [uppercase(String), format(String, Object), pluralize(String)]",WndResurrect,0.6962172,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Constants] with properties: [BOOLEANS] and behaviors: [parse(String), evaluate(Boolean)]",Info,0.7348535,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toLowerCase(String), upperCase(String), concatenate(String, String)]",Light,0.67972994,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [uppercase(String), concatenate(String, String), truncate(String)]",Fire,0.6962218,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), replace(String, String), split(String)]",Actor,0.7073978,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [TextProcessors] with properties: [CHARACTERS] and behaviors: [lowercase(String), split(String, String), join(String, String)]",Program,0.71467537,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [StringFormatter] with properties: [CHARACTERS] and behaviors: [capitalize(String), format(String, Object), trim(String)]",Speck,0.6677642,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [CharSets] with properties: [ALPHABETS] and behaviors: [format(String, Object), normalize(String)]",ItemSlot,0.69847715,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Transformers] with properties: [CHARS] and behaviors: [toLowerCase(String), format(String, Object), pad(String, Object)]",Sheep,0.72988886,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toLowerCase(String), replace(String, String), substring(String, int, int)]",Skeleton,0.70488834,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [uppercase(String), concatenate(String, String), repeat(Integer, String)]",Poison,0.707845,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Text] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), format(String, Object), split(String)]",Scroll,0.7341414,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [StringHandler] with properties: [ALPHABETS] and behaviors: [uppercase(String), concatenate(String, String), pluralize(String)]",WndWandmaker,0.70005363,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Filters] with properties: [PATTERNS] and behaviors: [match(String), validate(String), transform(String)]",CheckBox,0.70568204,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [ALPHABETS] and behaviors: [toLowerCase(String), concatenate(String, String), substring(String, int, int)]",Random,0.70632863,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [ALPHABETS] and behaviors: [toUpperCase(String), replace(String, String), trim(String)]",Touch,0.7096704,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Modifiers] with properties: [ADJECTIVES] and behaviors: [capitalize(String), format(String, Object), append(String)]",Fury,0.70950603,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Filters] with properties: [CHARS] and behaviors: [toLowerCase(String), format(String, Object), replace(String, String)]",Invisibility,0.70356476,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), format(String, Object), trim(String)]",Bones,0.69089377,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [uppercase(String), concatenate(String, String), substring(Int, Int)]",EquipableItem,0.7040503,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Formatter] with properties: [FORMATTERS] and behaviors: [format(String, Object), capitalize(String), pluralize(String)]",LloydsBeacon,0.6922017,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Formatters] with properties: [FORMAT_SPECIFIERS] and behaviors: [format(String, Object), trim(String), pad(String)]",BuffsTab,0.71102244,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Translit] with properties: [CHARACTERS] and behaviors: [normalize(String), format(String, Object), reverse(String)]",Ankh,0.66348916,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Chars] with properties: [ALPHABETS] and behaviors: [toUpperCase(String), concatenate(String, String), replace(String, String)]",Shield,0.7018551,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [uppercase(String), concatenate(String, String), substring(Int, Int)]",Thief,0.69593805,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Formatter] with properties: [FORMAT_STRING, OUTPUT_TYPE] and behaviors: [format(String, Object), capitalize(String), truncate(String)]",Patch,0.6946298,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [StringFormatter] with properties: [CHARACTERS] and behaviors: [capitalize(String), format(String, Object), trim(String)]",Amok,0.6466995,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [TextTransformer] with properties: [CHARS] and behaviors: [lowercase(String), format(String, Object), truncate(String)]",DeferedDamage,0.69047743,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [upperCase(String), concatenate(String, String), repeat(String, int)]",Brute,0.6953249,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Formatters] with properties: [CHARACTERS] and behaviors: [uppercase(String), format(String, Object), pluralize(String)]",WndStory,0.6871424,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toLowerCase(String), split(String, String), replace(String, String)]",TomeOfMastery,0.68071806,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toLowerCase(String), uppercase(String), split(String, String)]",Chasm,0.6740267,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [uppercase(String), format(String, Object), substring(String, int, int)]",Larva,0.71027917,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toLowerCase(String), substring(String, int, int), trim(String)]",Dewdrop,0.68165135,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), substring(String, int, int), repeat(String, int)]",Boomerang,0.69779205,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Formatters] with properties: [CHARACTERS] and behaviors: [capitalize(String), format(String, Object), truncate(String)]",Signal,0.66781616,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [ALPHABETS] and behaviors: [uppercase(String), concatenate(String, String), substring(String, int, int)]",Quad,0.68966556,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [uppercase(String), concatenate(String, String), substring(String)]",AboutScene,0.68086165,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Translators] with properties: [CHARACTERS] and behaviors: [translate(String, String), format(String, Object), reverse(String)]",ScrollOfTeleportation,0.7014166,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), replace(String, String), substring(Integer, Integer)]",KindOfWeapon,0.69503796,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Formatters] with properties: [FORMAT_SPECS] and behaviors: [format(String, Object), format(String, String), format(String, List)]",Gold,0.6981237,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), concatenate(String, String), repeat(Integer)]",TenguSprite,0.69857025,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [TextTransforms] with properties: [CONSONANTS] and behaviors: [lower(String), pluralize(String, Object), normalize(String)]",Tweener,0.6886538,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toLowerCase(String), format(String, Object), substring(String, int, int)]",WndTradeItem,0.6880692,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Filters] with properties: [CHARACTERS] and behaviors: [capitalize(String), format(String, Object), trim(String)]",ScrollOfRemoveCurse,0.67154455,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [StringFormatter] with properties: [CHARACTERS] and behaviors: [capitalize(String), format(String, Object), trim(String)]",CellEmitter,0.6456615,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [StringFormatter] with properties: [CHARACTERS] and behaviors: [format(String, Object), capitalize(String), reverse(String)]",WndImp,0.6472695,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [concat(String, String), replace(String, String, String), trim(String)]",QuickSlot,0.6960807,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Filters] with properties: [REGEX] and behaviors: [validate(String), sanitize(String), transform(String)]",SmartTexture,0.6856308,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [TextFormatter] with properties: [SYLLABLES] and behaviors: [sentenceCase(String), append(String, String), pluralize(String)]",WaterOfHealth,0.69066465,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Formatter] with properties: [SYMBOLS] and behaviors: [capitalize(String), format(String, Object), align(String)]",Component,0.6902313,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [TextTransformer] with properties: [CHARACTERS] and behaviors: [uppercase(String), concatenate(String, String), pluralize(String)]",Levitation,0.6709199,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Text] with properties: [CHARACTERS] and behaviors: [uppercase(String), replace(String, String, String), truncate(String, int)]",Death,0.711837,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), concatenate(String, String), trim(String)]",DwarfToken,0.66036487,implementation,,
