class_name            ,class_classification ,class_similarity
WandOfDisintegration  ,implementation       ,      0.63589644
SimpleButton          ,implementation       ,      0.60942173
TextureCache          ,implementation       ,      0.6307547
Badges                ,implementation       ,      0.6279533
DeathRay              ,implementation       ,      0.6102265
CorpseDust            ,implementation       ,      0.6277371
Gradient              ,implementation       ,      0.68036246
Scene                 ,implementation       ,      0.5926746
ToxicGas              ,implementation       ,      0.61135703
HuntressArmor         ,implementation       ,      0.6253641
LibraryPainter        ,implementation       ,      0.6576956
EyeSprite             ,implementation       ,      0.64161897
AlarmTrap             ,implementation       ,      0.6199206
WandOfSlowness        ,implementation       ,      0.6486646
Torch                 ,implementation       ,      0.6321702
LastLevel             ,implementation       ,      0.63747334
Compass               ,implementation       ,      0.6505599
Alert                 ,implementation       ,      0.63859093
PotionOfExperience    ,implementation       ,      0.62172425
ScaleArmor            ,implementation       ,      0.6561523
GrassPatch            ,implementation       ,      0.61351526
Satiety               ,implementation       ,      0.63850975
WarHammer             ,implementation       ,      0.60884714
PlantSprite           ,implementation       ,      0.62665164
EarthParticle         ,implementation       ,      0.622477
Shopkeeper            ,implementation       ,      0.65080273
Tilemap               ,implementation       ,      0.69659936
CellSelector          ,implementation       ,      0.5790469
TouchController       ,implementation       ,      0.6216698
Dungeon               ,implementation       ,      0.60514677
MirrorImage           ,implementation       ,      0.61410284
MonkSprite            ,implementation       ,      0.6419667
Warlock               ,implementation       ,      0.6257889
PotionOfMindVision    ,implementation       ,      0.6171962
PixelCamera           ,implementation       ,      0.62351924
ScorpioSprite         ,implementation       ,      0.61102164
FireParticle          ,implementation       ,      0.6247224
WndGame               ,implementation       ,      0.6115526
ShaftParticle         ,implementation       ,      0.62372285
Terrain               ,implementation       ,      0.6473222
TorchHalo             ,implementation       ,      0.6471092
RottingFistSprite     ,implementation       ,      0.6237407
Scorpio               ,implementation       ,      0.62434477
Shuriken              ,implementation       ,      0.6212261
WaterParticle         ,implementation       ,      0.6178266
Haggling              ,implementation       ,      0.62299645
Bandit                ,implementation       ,      0.6267929
FlavourBuff           ,implementation       ,      0.6394151
BitmapFilm            ,implementation       ,      0.6155405
FlameParticle         ,implementation       ,      0.5963994
TextureFilm           ,implementation       ,      0.6119892
Glowing               ,implementation       ,      0.62092626
BattleAxe             ,implementation       ,      0.61685884
PotionOfHealing       ,implementation       ,      0.6500923
WarlockSprite         ,implementation       ,      0.59438217
Freezing              ,implementation       ,      0.61496705
WoolParticle          ,implementation       ,      0.58920884
DM300                 ,implementation       ,      0.6474216
DesktopLauncher       ,implementation       ,      0.5896089
PurpleParticle        ,implementation       ,      0.60333705
DiscardedItemSprite   ,implementation       ,      0.6175183
PoisonParticle        ,implementation       ,      0.61969256
Camera                ,implementation       ,      0.6148398
SnowParticle          ,implementation       ,      0.6066488
Succubus              ,implementation       ,      0.63968444
CameraScrollTweener   ,implementation       ,      0.6064267
ScrollOfIdentify      ,implementation       ,      0.6319275
Awareness             ,implementation       ,      0.6666243
GameMath              ,implementation       ,      0.6204663
PiranhaSprite         ,implementation       ,      0.5965084
ShamanSprite          ,implementation       ,      0.6359887
EnergyParticle        ,implementation       ,      0.60889316
MobSprite             ,implementation       ,      0.5739473
CavesBossLevel        ,implementation       ,      0.6107493
Gizmo                 ,implementation       ,      0.61125284
RatKingPainter        ,implementation       ,      0.5961231
CheckedCell           ,implementation       ,      0.60561824
WraithSprite          ,implementation       ,      0.60441506
Halo                  ,implementation       ,      0.58960414
CryptPainter          ,implementation       ,      0.61919594
PrisonBossLevel       ,implementation       ,      0.6107848
SewerBossLevel        ,implementation       ,      0.5991408
LeafParticle          ,implementation       ,      0.6024983
LastShopLevel         ,implementation       ,      0.6062803
IOSLauncher           ,implementation       ,      0.5576292
BloodParticle         ,implementation       ,      0.60432076
GooSprite             ,implementation       ,      0.599105
WndOptions            ,implementation       ,      0.59237754
DM300Sprite           ,implementation       ,      0.6242798
HallsBossLevel        ,implementation       ,      0.6022524
ScrollHolder          ,implementation       ,      0.6158118
PseudoPixel           ,implementation       ,      0.6221649
ShopkeeperSprite      ,implementation       ,      0.59688073
DungeonTilemap        ,implementation       ,      0.6057286
AcidicSprite          ,implementation       ,      0.5939051
Herbalism             ,implementation       ,      0.63606715
SparkParticle         ,implementation       ,      0.58461046
SystemTime            ,implementation       ,      0.6348123
SuccubusSprite        ,implementation       ,      0.591303
StoragePainter        ,implementation       ,      0.5962422
Regeneration          ,implementation       ,      0.60109746
CityBossLevel         ,implementation       ,      0.59478056
WandOfFirebolt        ,implementation       ,      0.5745747
ScrollOfMirrorImage   ,implementation       ,      0.5815798
RogueArmor            ,implementation       ,      0.5868978
LootIndicator         ,implementation       ,      0.5863936
BadgeBanner           ,implementation       ,      0.6408155
SkeletonSprite        ,implementation       ,      0.585955
SpinnerSprite         ,implementation       ,      0.584956
GolemSprite           ,implementation       ,      0.5855915
OverpricedRation      ,implementation       ,      0.58336496
YogSprite             ,implementation       ,      0.6218351
ArmoryPainter         ,implementation       ,      0.58007395
BusyIndicator         ,implementation       ,      0.5873384
GardenPainter         ,implementation       ,      0.6705306
TrapsPainter          ,implementation       ,      0.59655344
Foliage               ,implementation       ,      0.5706818
FogTexture            ,implementation       ,      0.5687376
VaultPainter          ,implementation       ,      0.61248934
PoolPainter           ,implementation       ,      0.56916773
SmokeParticle         ,implementation       ,      0.5607722
StatueSprite          ,implementation       ,      0.5677943
LaboratoryPainter     ,implementation       ,      0.5542109
LarvaSprite           ,implementation       ,      0.5710017
GhostSprite           ,implementation       ,      0.5475892
CrabSprite            ,implementation       ,      0.5416429
AndroidLauncher       ,implementation       ,      0.5468235
SwarmSprite           ,implementation       ,      0.57218385
PitPainter            ,implementation       ,      0.64689434
UndeadSprite          ,implementation       ,      0.5644026
MagicWellPainter      ,implementation       ,      0.5418786
TreasuryPainter       ,implementation       ,      0.55222416
BlacksmithPainter     ,implementation       ,      0.54607546
WeakFloorPainter      ,implementation       ,      0.555325
TunnelPainter         ,implementation       ,      0.5166082
EntrancePainter       ,implementation       ,      0.5230485
StatuePainter         ,implementation       ,      0.5593008
BossExitPainter       ,implementation       ,      0.5324717
ExitPainter           ,implementation       ,      0.55686796
